https://product.suning.com/0070517287/11377627788.html
imgservice.suning.cn/uimg1/b2c/image/Jau32OhorpP4UJntVKKj9Q.png_800w_800h_4e
一加 OnePlus 7 Pro 全网通 8GB+256GB 曜岩灰 4800万超广角三摄 骁龙855 移动联通电信4G流体屏手机
3538.00
0
0
0
0
0
0
品牌	一加
型号	OnePlus7Pro
上市时间	2019年5月
入网许可证号	02-B182-183278
手机操作系统	Android
系统版本	Android
摄像头类型	其他
前摄像头	1600万像素
后摄像头	4800万像素
拍照特点	连拍,美颜,防抖,自动对焦
前摄光圈大小	f/2.0光圈
后摄光圈大小	其他
闪光灯类型	其他
传感器类型	其他
屏幕尺寸	6.67英寸
屏幕分辨率	其他
屏幕材质	AMOLED
屏幕像素密度（ppi）	516
触摸工艺	其他
颜色	黑色
机身长度	162.6毫米
机身宽度	75.9毫米
机身厚度	8.8毫米
重量	206克
机身材质	其它
CPU品牌	骁龙（Snapdragon)
CPU型号	骁龙855
CPU频率	单核最高主频2.84GHz
CPU核数	八核
GPU	以官网信息为准
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	全网通,电信4G,移动4G,联通4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	移动2G/联通2G,电信2G
网络频率	以官网信息为准
待机模式	双卡双待单通
是否支持同时使用联通卡	以官网信息为准
机身内存	256GB
运行内存	8GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	4000mAh
无线充电	不支持
电池更换	不支持
电池类型	其他
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	不支持
耳机接口	Type-C
充电接口类型	Type-C
指纹识别	支持
GPS	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
运营商标识	无
选购热点	双卡双待,骁龙芯片,Type-C,游戏手机,指纹识别,大屏手机,女性手机
CCC认证编号	2018011606062119
生产者（制造商）名称	深圳市万普拉斯科技有限公司东莞分公司
***
