https://product.suning.com/0070073461/11244622560.html
imgservice.suning.cn/uimg1/b2c/image/arGaIYKmcs9jJ4cxEMqszg.jpg_800w_800h_4e
小米(MI) 小米CC 9屏幕指纹 全网通 4800万超广角三摄 6GB+128GB 黑色（暗夜王子） 水滴全面屏拍照游戏手机
1396.00
1
1
0
0
0
0
品牌	小米(mi)
型号	小米CC9
上市时间	2019年07月
入网许可证号	02-B324-191636
手机操作系统	Android
系统版本	MIUI
摄像头类型	其他
前摄像头	3200万像素
后摄像头	4800+800+200万像素
拍照特点	自动对焦,防抖,连拍,美颜,场景模式
前摄光圈大小	f/2.0光圈
后摄光圈大小	其他
闪光灯类型	支持
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	6.39英寸
屏幕分辨率	其他
屏幕材质	OLED
屏幕像素密度（ppi）	403
触摸工艺	其他
屏占比	90.7%
颜色	黑色系
机身长度	156.8毫米
机身宽度	74.5毫米
机身厚度	8.67毫米
重量	179克
机身材质	其它
CPU品牌	骁龙（Snapdragon)
CPU型号	骁龙710
CPU频率	以官网为准
CPU核数	八核
GPU	其他
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,联通4G,电信4G,全网通,双卡单4G
3G网络制式	电信3G,移动3G,联通3G
2G网络制式	移动2G,移动2G/联通2G,联通2G,电信2G
网络频率	其他
待机模式	双卡双待单通
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	移动4G,联通4G,电信4G
副SIM卡3G网络制式	联通3G,移动3G,电信3G
副SIM卡2G网络制式	移动2G,移动2G/联通2G,联通2G,电信2G
是否支持同时使用联通卡	支持
机身内存	128GB
运行内存	6GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	4030mAh
无线充电	不支持
快充功能	支持
电池更换	支持
理论待机时间	24小时
电池类型	聚合物锂电池
理论通话时间	150分钟
数据传输接口	NFC,蓝牙,WIFI
NFC（近场通讯）	支持（点对点模式）；支持（读卡器模式）；支持（卡模式）；支持卡模拟
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	不支持
红外遥控	支持
电子罗盘	不支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	支持NFC,指纹识别,女性手机,国产手机,骁龙芯片,全面屏手机,超薄机身,Type-C
CCC认证编号	2019011606153367
生产者（制造商）名称	小米通讯技术有限公司
***
买家没有填写评价内容！

